epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6257,1.02931,3.20351,1.33794,0.00767,0.93056,0.13557,0.08261,0.77775,3.22412,1.16783,6.668e-05,6.668e-05,6.668e-05
2,37.3492,0.92794,2.86892,1.21923,0.00779,0.94444,0.50114,0.39548,0.75305,3.12193,1.08258,0.000147059,0.000147059,0.000147059
3,54.9149,0.82077,2.62422,1.15534,0.0081,0.98611,0.61965,0.49599,0.6928,3.04227,1.02063,0.000224138,0.000224138,0.000224138
4,72.4718,0.81333,2.34118,1.20076,0.0084,1,0.68875,0.55521,0.72144,2.98392,1.02673,0.000297916,0.000297916,0.000297916
5,89.9872,0.91624,2.3064,1.13751,0.00865,1,0.68522,0.56261,0.77647,2.98238,1.08484,0.000368394,0.000368394,0.000368394
6,107.417,0.89247,2.05247,1.1787,0.00839,1,0.68983,0.57336,0.78983,2.89658,1.16421,0.00043557,0.00043557,0.00043557
7,125.03,0.84516,1.78285,1.13817,0.00842,0.98611,0.73488,0.59077,0.8745,2.92002,1.16075,0.000499447,0.000499447,0.000499447
8,143.443,0.91167,1.69926,1.19563,0.00909,0.98611,0.69017,0.52252,0.87263,2.88771,1.13085,0.000560022,0.000560022,0.000560022
9,161.394,0.84832,1.63396,1.1664,0.74724,0.17883,0.65879,0.4487,0.94235,2.83477,1.26313,0.000617297,0.000617297,0.000617297
10,179.045,0.86529,1.38463,1.1875,0.90732,0.06166,0.71027,0.49691,0.91891,2.71793,1.2153,0.000671271,0.000671271,0.000671271
11,196.416,0.79987,1.38323,1.16388,0.88278,0.37485,0.77602,0.51075,0.97006,2.52266,1.29228,0.000721944,0.000721944,0.000721944
12,214.428,0.80348,1.44373,1.15836,0.71665,0.27992,0.43435,0.31659,1.06224,2.70724,1.34471,0.000769317,0.000769317,0.000769317
13,232.621,0.8251,1.50282,1.20323,0.49301,0.27904,0.38502,0.24804,1.16043,2.83157,1.42235,0.000813389,0.000813389,0.000813389
14,250.192,0.73797,1.32185,1.13798,0.60484,0.42929,0.59096,0.3513,1.21535,2.61799,1.45491,0.000854161,0.000854161,0.000854161
