epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.0355,1.02932,3.20351,1.33794,0.00767,0.93056,0.13556,0.08259,0.77775,3.22412,1.16783,6.668e-05,6.668e-05,6.668e-05
2,123.47,0.92822,2.86872,1.21931,0.00779,0.94444,0.4988,0.39407,0.75879,3.11796,1.08508,0.000147059,0.000147059,0.000147059
3,172.19,0.81723,2.62316,1.1547,0.00804,0.98611,0.61502,0.49236,0.70804,3.04636,1.02869,0.000224138,0.000224138,0.000224138
4,216.777,0.81836,2.35035,1.20195,0.00828,0.98611,0.64356,0.50888,0.73539,3.01697,1.05313,0.000297916,0.000297916,0.000297916
5,260.36,0.90679,2.3052,1.13352,0.00779,0.93056,0.63843,0.52091,0.72261,3.00307,1.08986,0.000368394,0.000368394,0.000368394
6,304.157,0.88679,2.08416,1.16799,0.00742,0.91667,0.63547,0.52402,0.71808,2.93905,1.12745,0.00043557,0.00043557,0.00043557
7,348.392,0.79368,1.79429,1.12546,0.00811,0.98611,0.67442,0.52748,0.82609,2.88143,1.18442,0.000499447,0.000499447,0.000499447
8,394.398,0.8637,1.67998,1.1799,0.00767,0.95833,0.67513,0.52885,0.80251,2.89183,1.11039,0.000560022,0.000560022,0.000560022
9,437.483,0.87617,1.5726,1.19855,0.94798,0.21006,0.59616,0.44332,0.8985,2.83841,1.21173,0.000617297,0.000617297,0.000617297
10,479.914,0.85585,1.39909,1.18819,0.86046,0.32502,0.60299,0.47077,0.93604,2.766,1.30806,0.000671271,0.000671271,0.000671271
11,522.423,0.88375,1.47021,1.1965,0.76811,0.35165,0.59226,0.45879,0.98265,2.68447,1.32831,0.000721944,0.000721944,0.000721944
12,566.916,0.86152,1.43541,1.19186,0.71272,0.44149,0.55912,0.45611,1.02934,2.75149,1.40916,0.000769317,0.000769317,0.000769317
13,609.897,0.91328,1.60106,1.24816,0.66697,0.50943,0.5906,0.47844,0.96269,2.65327,1.37704,0.000813389,0.000813389,0.000813389
14,652.771,0.75821,1.40453,1.1407,0.68214,0.51518,0.6295,0.49443,0.89272,2.53802,1.27437,0.000854161,0.000854161,0.000854161
15,696.733,0.69945,1.29748,1.07008,0.73714,0.57193,0.65117,0.52418,0.91866,2.41758,1.22675,0.000891632,0.000891632,0.000891632
16,739.705,0.80321,1.37871,1.14069,0.69845,0.58207,0.66112,0.49446,0.96599,2.4472,1.26568,0.000925802,0.000925802,0.000925802
17,783.03,0.78056,1.27123,1.10748,0.86369,0.48474,0.68848,0.50896,1.07705,2.33676,1.41781,0.000956671,0.000956671,0.000956671
18,826.051,0.81325,1.40829,1.15671,0.74254,0.57175,0.68591,0.544,1.00578,2.22162,1.32346,0.00098424,0.00098424,0.00098424
19,869.918,0.84071,1.24279,1.11099,0.71352,0.65482,0.69324,0.52571,1.0031,2.12792,1.30646,0.00100851,0.00100851,0.00100851
20,913.411,0.81397,1.24169,1.15333,0.51778,0.70113,0.62841,0.46815,0.97823,2.11042,1.22585,0.00102948,0.00102948,0.00102948
21,956.667,0.85595,1.3514,1.16225,0.56192,0.67298,0.66149,0.46703,1.07131,2.18775,1.28514,0.00100687,0.00100687,0.00100687
22,999.514,0.71471,1.19523,1.10773,0.7153,0.49941,0.60991,0.44208,1.08749,2.46152,1.30449,0.000973861,0.000973861,0.000973861
23,1042.29,0.70143,1.1472,1.05845,0.6861,0.53286,0.72403,0.54335,0.99867,2.35009,1.25633,0.000940855,0.000940855,0.000940855
24,1084.52,0.76409,1.20361,1.09215,0.73592,0.47096,0.68074,0.55362,0.90843,2.07015,1.28257,0.000907848,0.000907848,0.000907848
25,1127.57,0.75985,1.11539,1.05545,0.42686,0.70731,0.64943,0.51325,0.93564,2.01875,1.25627,0.000874842,0.000874842,0.000874842
26,1169.06,0.78863,1.10773,1.10527,0.50057,0.6351,0.67208,0.52249,0.92915,2.03241,1.22822,0.000841835,0.000841835,0.000841835
27,1211.66,0.78255,1.10199,1.0705,0.59535,0.72704,0.65702,0.52865,1.02079,1.98273,1.29977,0.000808828,0.000808828,0.000808828
28,1253.78,0.75016,1.06096,1.123,0.5751,0.73253,0.64784,0.47721,1.2365,2.10953,1.51527,0.000775822,0.000775822,0.000775822
29,1298.16,0.72152,1.05286,1.11178,0.53944,0.70495,0.62374,0.46502,1.23268,2.19965,1.49542,0.000742815,0.000742815,0.000742815
30,1340.74,0.75683,1.09528,1.09973,0.6088,0.71843,0.6435,0.50463,1.0963,2.11545,1.32584,0.000709809,0.000709809,0.000709809
31,1382.76,0.68122,0.96273,1.06317,0.58746,0.7601,0.64589,0.50037,1.00636,2.12341,1.2717,0.000676802,0.000676802,0.000676802
32,1424.58,0.73752,1.1044,1.07501,0.73721,0.74179,0.75143,0.60109,0.93662,1.76049,1.24652,0.000643795,0.000643795,0.000643795
33,1466.33,0.71585,1.13939,1.08135,0.8347,0.72988,0.78342,0.63424,0.9253,1.6284,1.2425,0.000610789,0.000610789,0.000610789
34,1507.91,0.68738,0.94417,1.07302,0.80704,0.7601,0.78265,0.64152,0.89636,1.52577,1.22506,0.000577782,0.000577782,0.000577782
35,1551.56,0.62408,0.86473,1.056,0.80462,0.7601,0.79318,0.66624,0.8624,1.45409,1.18019,0.000544776,0.000544776,0.000544776
36,1593.61,0.6476,0.87281,1.05522,0.71871,0.93757,0.78635,0.67545,0.83516,1.42775,1.12915,0.000511769,0.000511769,0.000511769
37,1634.78,0.65861,0.95271,1.0162,0.74928,0.91996,0.80534,0.67975,0.81937,1.36664,1.11246,0.000478762,0.000478762,0.000478762
38,1676.06,0.61954,0.88933,1.02973,0.73186,0.95304,0.82442,0.68683,0.83091,1.35329,1.1191,0.000445756,0.000445756,0.000445756
39,1717.43,0.64938,0.91954,1.04229,0.80112,0.77399,0.83079,0.69337,0.83525,1.38203,1.13682,0.000412749,0.000412749,0.000412749
40,1759.2,0.71522,0.95451,1.08918,0.78456,0.7702,0.79906,0.66454,0.86565,1.51953,1.16926,0.000379743,0.000379743,0.000379743
41,1800.98,0.52014,0.98012,0.93298,0.76671,0.75684,0.75217,0.61738,0.87111,1.58214,1.17842,0.000346736,0.000346736,0.000346736
42,1843.2,0.50667,0.99426,0.97165,0.7952,0.72854,0.72441,0.60168,0.90005,1.61739,1.20282,0.000313729,0.000313729,0.000313729
43,1893.87,0.53252,0.98007,0.9492,0.80669,0.71841,0.76904,0.63143,0.87359,1.63245,1.18545,0.000280723,0.000280723,0.000280723
44,1939.05,0.56978,1.06344,0.9683,0.78865,0.69319,0.78551,0.66005,0.8613,1.62296,1.17516,0.000247716,0.000247716,0.000247716
45,1978.37,0.52998,0.97763,0.96289,0.76078,0.76767,0.79577,0.68135,0.81015,1.54374,1.14082,0.00021471,0.00021471,0.00021471
46,2020.84,0.55539,0.99819,0.95785,0.74682,0.7601,0.80971,0.7072,0.78474,1.44506,1.12613,0.000181703,0.000181703,0.000181703
47,2063.19,0.51088,0.9444,0.95493,0.75655,0.82955,0.83575,0.73082,0.77802,1.36927,1.12709,0.000148696,0.000148696,0.000148696
48,2105.78,0.51609,0.93988,0.92573,0.76394,0.87121,0.84949,0.72913,0.76525,1.28364,1.1098,0.00011569,0.00011569,0.00011569
49,2146.91,0.48658,0.95252,0.94334,0.7807,0.87121,0.85234,0.72592,0.76128,1.2714,1.10046,8.26832e-05,8.26832e-05,8.26832e-05
50,2189.46,0.47547,0.88262,0.92591,0.79419,0.86993,0.85662,0.72978,0.766,1.26305,1.10065,4.96766e-05,4.96766e-05,4.96766e-05
